GameId,TotalMatchesA,TotalWinsA,TotalLossesA,TotalPointsA,TotalScoreForA,TotalScoreAgainstA,TotalMatchesB,TotalWinsB,TotalLossesB,TotalPointsB,TotalScoreForB,TotalScoreAgainstB,Winner
100016021,27,10,17,30,25,34,28,20,8,60,45,25,B
100016022,27,9,18,27,27,40,27,14,13,42,33,30,Draw
100016023,28,8,20,24,24,43,27,17,10,51,38,27,B
100016024,27,6,21,18,20,45,27,19,8,57,41,23,B
100016025,27,11,16,33,27,38,27,19,8,57,42,25,B
100016026,28,20,8,60,45,25,25,17,8,51,38,28,Draw
100016028,27,7,20,21,18,45,27,23,4,69,48,13,B
100016027,25,14,11,42,34,27,27,10,17,30,25,39,Draw
100016029,27,7,20,21,24,45,27,11,16,33,27,38,B
100016030,26,17,9,51,41,23,27,9,18,27,27,40,Draw
100016031,26,16,10,48,36,23,26,5,21,15,18,46,A
100016032,25,22,3,66,46,13,26,21,5,63,46,16,A
100016033,26,10,16,30,25,36,26,14,12,42,34,30,B
100016034,25,3,22,9,12,46,26,6,20,18,19,45,B
100016035,25,22,3,66,46,13,26,20,6,60,43,18,A
100016036,26,12,14,36,30,36,26,16,10,48,36,23,B
100016037,26,21,5,63,46,16,26,5,21,15,18,46,A
100016038,26,10,16,30,25,36,26,6,20,18,19,45,B
100016039,26,12,14,36,30,36,26,14,12,42,34,30,A
100016040,25,3,22,9,12,46,26,20,6,60,43,18,B
100016041,25,3,22,9,12,46,26,16,10,48,36,23,B
100016042,26,12,14,36,30,36,26,20,6,60,43,18,A
100016043,26,21,5,63,46,16,26,6,20,18,19,45,A
100016044,25,22,3,66,46,13,26,10,16,30,25,36,A
100016045,25,3,22,9,12,46,26,5,21,15,18,46,A
100016046,26,20,6,60,43,18,26,14,12,42,34,30,A
100016047,25,22,3,66,46,13,26,16,10,48,36,23,A
100016048,26,12,14,36,30,36,26,6,20,18,19,45,A
100016049,26,14,12,42,34,30,26,21,5,63,46,16,B
100016050,26,10,16,30,25,36,26,5,21,15,18,46,B
100016051,25,3,22,9,12,46,26,12,14,36,30,36,B
100016052,26,21,5,63,46,16,26,16,10,48,36,23,A
100016053,26,6,20,18,19,45,26,5,21,15,18,46,A
100016054,25,22,3,66,46,13,26,14,12,42,34,30,B
100016055,26,10,16,30,25,36,26,20,6,60,43,18,A
100016056,26,12,14,36,30,36,26,21,5,63,46,16,B
100016057,26,14,12,42,34,30,26,5,21,15,18,46,A
100016058,25,22,3,66,46,13,25,3,22,9,12,46,A
100016059,26,20,6,60,43,18,26,6,20,18,19,45,A
100016060,26,10,16,30,25,36,26,16,10,48,36,23,B
100016061,26,12,14,36,30,36,26,10,16,30,25,36,A
100016062,25,22,3,66,46,13,26,6,20,18,19,45,A
100016063,26,20,6,60,43,18,26,16,10,48,36,23,A
100016064,25,3,22,9,12,46,26,21,5,63,46,16,B
100016065,26,14,12,42,34,30,26,6,20,18,19,45,A
100016066,26,12,14,36,30,36,26,5,21,15,18,46,A
100016067,25,3,22,9,12,46,26,10,16,30,25,36,B
100016068,26,20,6,60,43,18,26,21,5,63,46,16,A
100016069,26,14,12,42,34,30,26,16,10,48,36,23,B
100016070,25,22,3,66,46,13,26,5,21,15,18,46,A
100016071,26,20,6,60,43,18,26,5,21,15,18,46,A
100016072,25,3,22,9,12,46,26,14,12,42,34,30,B
100016073,26,6,20,18,19,45,26,16,10,48,36,23,B
100016074,26,10,16,30,25,36,26,21,5,63,46,16,B
100016075,25,22,3,66,46,13,26,12,14,36,30,36,A
100016076,26,14,12,42,34,30,26,5,21,15,18,46,A
100016077,26,10,16,30,25,36,26,6,20,18,19,45,B
100016078,25,3,22,9,12,46,26,20,6,60,43,18,B
100016079,25,22,3,66,46,13,26,21,5,63,46,16,A
100016080,26,12,14,36,30,36,26,16,10,48,36,23,A
100016081,25,3,22,9,12,46,26,21,5,63,46,16,B
100016082,26,20,6,60,43,18,26,16,10,48,36,23,B
100016083,26,14,12,42,34,30,26,6,20,18,19,45,A
100016084,25,22,3,66,46,13,26,12,14,36,30,36,A
100016085,26,21,5,63,46,16,26,5,21,15,18,46,A
100016086,26,10,16,30,25,36,26,16,10,48,36,23,B
100016087,25,22,3,66,46,13,26,20,6,60,43,18,A
100016088,25,3,22,9,12,46,26,12,14,36,30,36,B
100016089,26,6,20,18,19,45,26,5,21,15,18,46,B
100016090,26,10,16,30,25,36,26,14,12,42,34,30,B
100016091,25,22,3,66,46,13,26,10,16,30,25,36,A
100016092,26,16,10,48,36,23,26,5,21,15,18,46,A
100016093,26,20,6,60,43,18,26,21,5,63,46,16,A
100016094,25,3,22,9,12,46,26,14,12,42,34,30,B
100016095,26,12,14,36,30,36,26,10,16,30,25,36,B
100016096,25,22,3,66,46,13,26,6,20,18,19,45,A
100016097,26,14,12,42,34,30,26,16,10,48,36,23,B
100016098,25,3,22,9,12,46,26,5,21,15,18,46,B
100016099,26,12,14,36,30,36,26,20,6,60,43,18,B
100016100,26,21,5,63,46,16,26,6,20,18,19,45,A
100016101,25,3,22,9,12,46,26,10,16,30,25,36,B
100016102,26,20,6,60,43,18,26,14,12,42,34,30,A
100016103,26,12,14,36,30,36,26,21,5,63,46,16,B
100016104,25,22,3,66,46,13,26,5,21,15,18,46,A
100016105,25,3,22,9,12,46,26,16,10,48,36,23,B
100016106,26,20,6,60,43,18,26,6,20,18,19,45,A
100016107,26,12,14,36,30,36,26,5,21,15,18,46,A
100016108,25,22,3,66,46,13,26,14,12,42,34,30,A
100016109,26,6,20,18,19,45,26,16,10,48,36,23,B
100016110,26,10,16,30,25,36,26,21,5,63,46,16,A
100016111,26,10,16,30,25,36,26,5,21,15,18,46,A
100016112,26,12,14,36,30,36,26,6,20,18,19,45,A
100016113,25,22,3,66,46,13,26,16,10,48,36,23,A
100016114,26,14,12,42,34,30,26,21,5,63,46,16,B
100016115,26,10,16,30,25,36,26,20,6,60,43,18,B
100016116,25,3,22,9,12,46,26,6,20,18,19,45,A
100016117,26,12,14,36,30,36,26,14,12,42,34,30,B
100016118,26,21,5,63,46,16,26,16,10,48,36,23,A
100016119,25,22,3,66,46,13,25,3,22,9,12,46,A
100016120,26,20,6,60,43,18,26,5,21,15,18,46,A
